deal_id,venue_id,deal_name,description,category,deal_price,original_price,is_food,is_drink,is_active,valid_through
AD001,ARL001,50% Off Wing Night,Wings 50% off. $5 shots (limited selection) also available.,food,,,TRUE,FALSE,TRUE,
AD002,ARL001,$5 Shots - Wing Night,"Limited selection shots, paired with wing night.",drinks,5,,FALSE,TRUE,TRUE,
AD003,ARL001,$12 Taco Tray,Taco Tray special for Taco & Tequila Tuesday.,food,12,,TRUE,FALSE,TRUE,
AD004,ARL001,$4 Margarita Pints,Taco & Tequila Tuesday drink special.,drinks,4,,FALSE,TRUE,TRUE,
AD005,ARL001,$5 Tequila Shots,Taco & Tequila Tuesday. Limited selection.,drinks,5,,FALSE,TRUE,TRUE,
AD006,ARL001,Burger & Beer Combo - Karaoke Thursday,$20 burger + beer combo during Karaoke Thursday.,both,20,,TRUE,TRUE,TRUE,
AD007,ARL001,$5 Shots - Karaoke Thursday,Limited selection shots during Karaoke Thursday.,drinks,5,,FALSE,TRUE,TRUE,
AD008,ARL001,$5 Shots - Friday DJ Night,"Limited selection shots during Friday DJ Night, vibes at 100. NOTE: actual close is 2am; schedule end truncated to 11:59pm pending midnight-crossing schema fix.",drinks,5,,FALSE,TRUE,TRUE,
AD009,ARL002,J Street Trivia Drink/Food Special,$5 Solace Artificial Light (German Pilsner) + $3.50 tacos during trivia.,both,5,,TRUE,TRUE,TRUE,
AD010,ARL002,Saturday Power Hour Tier 1 (11-12pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,1,,FALSE,TRUE,TRUE,
AD011,ARL002,Saturday Power Hour Tier 2 (12-1pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,2,,FALSE,TRUE,TRUE,
AD012,ARL002,Saturday Power Hour Tier 3 (1-2pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,3,,FALSE,TRUE,TRUE,
AD013,ARL002,Saturday Power Hour Tier 4 (2-3pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,4,,FALSE,TRUE,TRUE,
AD014,ARL002,$3 Slices - Saturday,"Saturday pizza slice special, same day as Power Hour.",food,3,,TRUE,FALSE,TRUE,
AD015,ARL002,Martini Friday BOGO,Buy one get one free espresso martinis. Dine-in only.,drinks,,,FALSE,TRUE,TRUE,
AD016,ARL003,$2 Off Draft Beer - HH,Happy Hour Mon-Fri 3-6pm. $2 off all draft beer.,drinks,,,FALSE,TRUE,TRUE,
AD017,ARL003,$5 House Wine - HH,Happy Hour Mon-Fri 3-6pm.,drinks,5,,FALSE,TRUE,TRUE,
AD018,ARL003,$5 Rail Drinks - HH,Happy Hour Mon-Fri 3-6pm.,drinks,5,,FALSE,TRUE,TRUE,
AD019,ARL003,$4 Narragansett - HH,Happy Hour Mon-Fri 3-6pm.,drinks,4,,FALSE,TRUE,TRUE,
AD020,ARL003,$5 Tito's Bloody Mary Bar,Bloody Mary bar special. Day/time window not shown on this poster segment -- appears brunch-adjacent given nearby waffle/egg items.,drinks,5,,FALSE,TRUE,TRUE,
AD021,ARL003,$4 Sunrise Mule,"Vodka, ginger beer, orange juice. Day/time window not shown on this poster segment.",drinks,4,,FALSE,TRUE,TRUE,
AD022,ARL004,Lunazul Margarita,Classic marg on the rocks.,drinks,9,,FALSE,TRUE,TRUE,
AD023,ARL004,Drunken Arnold Palmer,"Vodka, iced tea, lemon simple.",drinks,9,,FALSE,TRUE,TRUE,
AD024,ARL004,Espresso Martini,"Vodka, Irish cream, cinnamon syrup.",drinks,10,,FALSE,TRUE,TRUE,
AD025,ARL004,Miller Lite Pint,,drinks,5,,FALSE,TRUE,TRUE,
AD026,ARL004,Narragansett Pint,,drinks,4,,FALSE,TRUE,TRUE,
AD027,ARL004,All Seltzers,"White Claw, High Noon, Suncruiser, Lucky One.",drinks,6,,FALSE,TRUE,TRUE,
AD028,ARL004,Wine by the Glass,Sparkling Rose/Rose/Sauv Blanc/Chianti/Pinot Noir -- all $7/glass.,drinks,7,,FALSE,TRUE,TRUE,
AD029,ARL004,Popcorn Chicken,"Honey mustard, ranch.",food,8,,TRUE,FALSE,TRUE,
AD030,ARL004,Wings (GF),"Buffalo, BBQ, or Honey Old Bay.",food,8,,TRUE,FALSE,TRUE,
AD031,ARL004,Nachos (V)(GF),With all the things.,food,8,,TRUE,FALSE,TRUE,
AD032,ARL004,Hot Mess Fries,"Bacon, chili, cheese, waffle fries.",food,10,,TRUE,FALSE,TRUE,
AD033,ARL004,Poutine,"Melty cheese, gravy, beef on fries.",food,10,,TRUE,FALSE,TRUE,
AD034,ARL004,Slice & a Beer Combo,Any pizza slice + any house draft.,both,10,,TRUE,TRUE,TRUE,
AD035,ARL004,Burger & a Beer Combo,Any single patty burger + fries + any house draft.,both,14,,TRUE,TRUE,TRUE,
AD036,ARL005,$10 Frozen Cocktails - Rooftop HH,"Rooftop Happy Hour, Thu & Fri 5-7pm.",drinks,10,,FALSE,TRUE,TRUE,
AD037,ARL005,$10 Tiki Cocktails - Rooftop HH,"Rooftop Happy Hour, Thu & Fri 5-7pm.",drinks,10,,FALSE,TRUE,TRUE,
AD038,ARL005,$8 Margaritas - Rooftop HH,"Rooftop Happy Hour, Thu & Fri 5-7pm.",drinks,8,,FALSE,TRUE,TRUE,
AD039,ARL005,$6 Beers & Seltzers - Rooftop HH,"Rooftop Happy Hour, Thu & Fri 5-7pm.",drinks,6,,FALSE,TRUE,TRUE,
AD047,ARL007,$2 Tacos - HH,"Choice of chicken, ground beef, or carnitas. Corn tortilla, onions, cilantro.",food,2,,TRUE,FALSE,TRUE,
AD048,ARL007,$5 Soups & Appetizers - HH,"Chicken tortilla soup, Mexican street corn, mac n cheese bites, taquitos, queso dip.",food,5,,TRUE,FALSE,TRUE,
AD049,ARL007,$7 Apps - HH,"Chorizo sliders, chicken sliders, crispy wings.",food,7,,TRUE,FALSE,TRUE,
AD050,ARL007,$2 Chips and Salsa - HH,,food,2,,TRUE,FALSE,TRUE,
AD051,ARL007,$9 House Margaritas - HH,,drinks,9,,FALSE,TRUE,TRUE,
AD052,ARL007,$7 Rail Drinks - HH,,drinks,7,,FALSE,TRUE,TRUE,
AD053,ARL007,$7 House Red/White Wine - HH,,drinks,7,,FALSE,TRUE,TRUE,
AD054,ARL007,$2 Off Draft Beer - HH,,drinks,,,FALSE,TRUE,TRUE,
AD055,ARL008,Hot Honey Butter Chicken Bites (Half),Half portion.,food,7,,TRUE,FALSE,TRUE,
AD056,ARL008,Steak or Chicken Egg Rolls,Two pieces.,food,7,,TRUE,FALSE,TRUE,
AD057,ARL008,Chips Salsa & Queso,,food,7,,TRUE,FALSE,TRUE,
AD058,ARL008,Loaded Tots,,food,7,,TRUE,FALSE,TRUE,
AD059,ARL008,Grilled Cheese,,food,7,,TRUE,FALSE,TRUE,
AD060,ARL008,Cheese or Veggie Quesadilla,Two pieces. Add chicken or steak for $1.,food,7,,TRUE,FALSE,TRUE,
AD061,ARL010,1/2 Off Dumplings and Sake Bottles - Tuesday,"Daily special, not HH-framed on source page.",both,,,TRUE,TRUE,TRUE,
AD062,ARL010,1/2 Off Sushi Roll - Wednesday,"Daily special, not HH-framed on source page.",food,,,TRUE,FALSE,TRUE,
AD063,ARL010,$35 All You Can Eat Small Plates - Sat/Sun 11-3,"Weekend brunch/lunch window, not evening HH.",food,35,,TRUE,FALSE,TRUE,
AD064,ARL002,$3 Slices - Weekday HH (Mon-Fri 4-6pm),"CONFLICTS with AD014 (website version, implied Saturday). This version confirmed via in-bar TV sign photo: Weekdays 4-6pm. See flag on AD014.",food,3,,TRUE,FALSE,TRUE,
AD065,ARL002,$2 Off All Draft Beers - Weekday HH,"In-bar sign, Weekdays 4-6pm.",drinks,,,FALSE,TRUE,TRUE,
AD066,ARL002,$2 Off Boozy Slushies - Weekday HH,"In-bar sign, Weekdays 4-6pm. New item, not previously captured from website.",drinks,,,FALSE,TRUE,TRUE,
AD067,ARL002,$5 Rail Drinks - Weekday HH,"In-bar sign, Weekdays 4-6pm. New item, not previously captured from website.",drinks,5,,FALSE,TRUE,TRUE,
AD068,ARL002,$6 House Wine Glasses - Weekday HH,"In-bar sign, Weekdays 4-6pm. New item, not previously captured from website.",drinks,6,,FALSE,TRUE,TRUE,
AD078,ARL011,$4 Light Domestics - Daily HH,"Daily Happy Hour. Mon-Fri til 7pm, Sat-Sun til 5pm.",drinks,4,,FALSE,TRUE,TRUE,
AD079,ARL011,$5 Crafts/Imports/Seltzers/Wine - Daily HH,"Daily Happy Hour. Mon-Fri til 7pm, Sat-Sun til 5pm.",drinks,5,,FALSE,TRUE,TRUE,
AD080,ARL011,$1 Wings (min 6) - Monday,"Monday food special, min order of 6.",food,1,,TRUE,FALSE,TRUE,
AD081,ARL011,1/2 Price Burgers - Tuesday,Tuesday food special. Contains raw/undercooked ingredient disclaimer on menu.,food,,,TRUE,FALSE,TRUE,
AD082,ARL011,$1 Wings (min 6) - Wednesday,"Wednesday food special, min order of 6.",food,1,,TRUE,FALSE,TRUE,
AD083,ARL011,$2.50 Sliders (min 3) - Thursday,"Fried chicken or beef, min order of 3.",food,2.5,,TRUE,FALSE,TRUE,
AD084,ARL011,Burger Sliders (2) - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD085,ARL011,Fried Pickles - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD086,ARL011,Nachos (Chicken or Chili) - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD087,ARL011,Fried Mozzarella - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD088,ARL011,Loaded Tots - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD089,ARL011,Chicken Quesadilla - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD090,ARL011,Pretzels (2) - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD091,ARL011,Mac n Cheese Bites - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
AD092,ARL011,Taquitos (Chicken or Chili) - Fri-Sun $6 App,,food,6,,TRUE,FALSE,TRUE,
